num_per_thread,recorded,real,runtime
9,259,891.7,0.738368
9,297,1013.88,0.204128
9,359,1265.8,0.224032
9,364,1311.1,0.23904
9,210,691.8,0.2536
9,227,643.6,0.285472
9,295,910.4,0.248768
9,202,579.7,0.24928
9,145,286.7,0.251456
9,90,199.9,0.268288
9,56,140.2,0.227744
9,53,99.78,0.245024
4,259,891.7,0.714688
4,296,1013.88,0.17008
4,359,1265.8,0.176
4,363,1311.1,0.200192
4,210,691.8,0.172928
4,226,643.6,0.178656
4,294,910.4,0.174336
4,201,579.7,0.198688
4,145,286.7,0.169888
4,89,199.9,0.1704
4,56,140.2,0.158976
4,53,99.78,0.159936
1,258,891.7,0.474304
1,295,1013.88,0.141344
1,358,1265.8,0.196384
1,362,1311.1,0.175136
1,209,691.8,0.164416
1,225,643.6,0.149056
1,293,910.4,0.170752
1,200,579.7,0.17728
1,144,286.7,0.136416
1,89,199.9,0.163616
1,55,140.2,0.15248
1,53,99.78,0.14992
16,259,891.7,0.797184
16,296,1013.88,0.271072
16,359,1265.8,0.266368
16,364,1311.1,0.27008
16,211,691.8,0.269984
16,227,643.6,0.270624
16,296,910.4,0.264928
16,202,579.7,0.263904
16,146,286.7,0.268992
16,90,199.9,0.271296
16,55,140.2,0.268032
16,53,99.78,0.270304
